animal_id,ZBNr,Name,Rasse,Wurfdatum,geburtsjahr,birthyear_clean,geschlecht,sex_clean,sex_code,father_id,mother_id,ed_score,ed_trait_blup,ed_phenotyped_bool,ED_rechts_raw,ED_links_raw,ed_blup_raw,se_blup,pev,reliability,reliability_prozent,accuracy,accuracy_prozent,sicherheitsklasse,ed_zw_0_10_niedrig_gut
72674,DKK 23644/2008,Coco Loco's Xavier,Labrador-Retriever,11/19/2008,2008.0,2008.0,R,R,1,81612,81569,0.0,1.0,True,"frei,frei",frei,-0.28020135,0.12434099,0.015460681794180099,0.6917849807786751,69.17849807786752,0.8317361244882148,83.17361244882147,hoch,-21.775735403806674
34497,99-7739,Bellever Lynx,Labrador-Retriever,7/1/1997,1997.0,1997.0,R,R,1,30308,29714,0.0,1.0,True,"frei,frei",frei,-0.26921352,0.11341004,0.0128618371728016,0.7435940119452653,74.35940119452653,0.8623189734345785,86.23189734345786,hoch,-20.878184003611942
34436,93-5104,Tibea Tosh,Labrador-Retriever,3/20/1986,1986.0,1986.0,R,R,1,27838,27684,0.0,1.0,True,"frei,frei",frei,-0.23565589,0.08697433,0.007564534078948901,0.8491979171693931,84.9197917169393,0.9215193525745365,92.15193525745366,hoch,-18.136996909006676
134917,LCD 15/W 1231,Antonio aus Gesmold,Labrador-Retriever,7/23/2015,2015.0,2015.0,R,R,1,144126,144127,0.0,1.0,True,"frei,frei",frei,-0.23378066,0.11717202,0.0137292822708804,0.7263011388923807,72.63011388923807,0.852233030862088,85.2233030862088,hoch,-17.98381695334781
107633,LCD 07/O 1185,Wellington's Uma,Labrador-Retriever,,,,H,H,2,32753,107632,0.0,1.0,True,"frei,frei",frei,-0.22563416,0.16714455,0.0279373005947025,0.443058478635172,44.3058478635172,0.665626380663486,66.5626380663486,mittel,-17.31836231110395
33750,01-8820,Diana vom Windbrunnen,Labrador-Retriever,5/5/2001,2001.0,2001.0,H,H,2,34497,33902,0.0,1.0,True,"frei,frei",frei,-0.22429537,0.1429848,0.020444653031039997,0.5924274743622663,59.24274743622663,0.7696931040111158,76.96931040111158,mittel,-17.209001969793
33517,SHSB 481136,Black Aslan von der Altburg,Labrador-Retriever,11/6/1991,1991.0,1991.0,R,R,1,27807,29635,0.0,1.0,True,"frei,frei",frei,-0.22117108,0.13727659,0.0188448621620281,0.6243199600887505,62.431996008875046,0.7901392029818229,79.0139202981823,hoch,-16.953791353673676
66249,813640,Bella vom Forsthaus Augustdorf,Labrador-Retriever,4/23/2008,2008.0,2008.0,H,H,2,34453,34771,0.0,1.0,True,"frei,frei",frei,-0.21792279,0.14720797,0.021670186431520896,0.567995964444781,56.7995964444781,0.7536550699390145,75.36550699390145,mittel,-16.68845167898463
34459,96-6076,Mars Delight,Labrador-Retriever,6/26/1994,1994.0,1994.0,R,R,1,28309,28310,0.0,1.0,True,"frei,frei",frei,-0.21563259,0.14111827,0.019914366127792897,0.602998960811114,60.299896081111406,0.7765300772095786,77.65300772095786,hoch,-16.501374502078367
34834,97-6699,A.J. Ascot vom Keien Fenn,Labrador-Retriever,5/21/1997,1997.0,1997.0,R,R,1,34436,34115,0.0,1.0,True,"frei,frei",frei,-0.2135662,0.12931554,0.0167225088854916,0.6666299412804194,66.66299412804194,0.816474091003762,81.6474091003762,hoch,-16.332579459030885
